fold,num_heads,out_channels,num_epochs,learning_rate,weight_decay,train_loss,val_loss,train_accuracy,val_accuracy,train_f1,val_f1
1,3,16,10,0.1,0.0,0.4453996419906616,0.4352195262908935,0.7851239669421488,0.7741935483870968,0.7832173204516354,0.7741935483870968
2,3,16,10,0.1,0.0,0.4444643631577492,0.500511646270752,0.768595041322314,0.8709677419354839,0.7696468820435762,0.8670062252405207
3,3,16,10,0.1,0.0,0.4568782299757004,0.4257446825504303,0.7868852459016393,0.7666666666666667,0.7857081414879507,0.7538461538461537
4,3,16,10,0.1,0.0,0.456874281167984,0.520209014415741,0.7868852459016393,0.7666666666666667,0.7818067666550401,0.7653333333333333
5,3,16,10,0.1,0.0,0.4586756229400635,0.7344240546226501,0.8032786885245902,0.6,0.8014754098360656,0.584688995215311
1,3,16,10,0.1,1e-05,0.4343646913766861,0.4570130407810211,0.8099173553719008,0.7741935483870968,0.8103893823572502,0.7610805140309468
2,3,16,10,0.1,1e-05,0.4902716353535652,0.5210291743278503,0.743801652892562,0.8064516129032258,0.719845443812386,0.8005093378607809
3,3,16,10,0.1,1e-05,0.4747459962964058,0.4354909658432007,0.7622950819672131,0.6666666666666666,0.758544215387693,0.662037037037037
4,3,16,10,0.1,1e-05,0.4676402509212494,0.5220242738723755,0.7622950819672131,0.7,0.7625346555592639,0.6835164835164835
5,3,16,10,0.1,1e-05,0.383625254034996,0.6330482363700867,0.8278688524590164,0.7333333333333333,0.8232477997905728,0.7345238095238095
1,4,16,10,0.1,0.0,0.4365163668990135,0.4488442242145538,0.7603305785123967,0.7741935483870968,0.7540348673612466,0.7741935483870968
2,4,16,10,0.1,0.0,0.4107821732759475,0.496156096458435,0.8099173553719008,0.8064516129032258,0.8096783746075433,0.8064516129032258
3,4,16,10,0.1,0.0,0.461783766746521,0.4096431136131286,0.7786885245901639,0.7333333333333333,0.777079599511023,0.7231259968102073
4,4,16,10,0.1,0.0,0.3503772318363189,0.6495899558067322,0.9016393442622952,0.7333333333333333,0.9013961448387676,0.7296296296296296
5,4,16,10,0.1,0.0,0.3677969202399254,0.7844507098197937,0.8360655737704918,0.6666666666666666,0.8356602413979463,0.6666666666666666
1,4,16,10,0.1,1e-05,0.4783431962132454,0.5538631081581116,0.7933884297520661,0.7419354838709677,0.7834906860086353,0.735429655733261
2,4,16,10,0.1,1e-05,0.3726132661104202,0.594893753528595,0.8264462809917356,0.7741935483870968,0.8262280811634092,0.7558353002884867
3,4,16,10,0.1,1e-05,0.4877505823969841,0.475625604391098,0.7868852459016393,0.7333333333333333,0.787573267706638,0.7333333333333333
4,4,16,10,0.1,1e-05,0.3827789425849914,0.5514900088310242,0.8688524590163934,0.7333333333333333,0.8681280870695081,0.7296296296296296
5,4,16,10,0.1,1e-05,0.44355059415102,0.8129873871803284,0.7868852459016393,0.7333333333333333,0.7773845007451565,0.7345238095238095
1,3,16,10,0.01,0.0,0.5164732709527016,0.5114388465881348,0.743801652892562,0.7419354838709677,0.7428353393671167,0.7419354838709677
2,3,16,10,0.01,0.0,0.5236401632428169,0.501615047454834,0.7272727272727273,0.7419354838709677,0.7176590758877606,0.7391783843396746
3,3,16,10,0.01,0.0,0.5285942181944847,0.508380115032196,0.7377049180327869,0.7333333333333333,0.736256174139016,0.7333333333333333
4,3,16,10,0.01,0.0,0.4456177204847336,0.6430922150611877,0.7950819672131147,0.7,0.7907823800892924,0.6982857142857143
5,3,16,10,0.01,0.0,0.4986524954438209,0.5035172700881958,0.7704918032786885,0.8,0.7635986795213265,0.7923444976076556
1,3,16,10,0.01,1e-05,0.4963527470827102,0.4788943231105804,0.7603305785123967,0.7741935483870968,0.7554222036792099,0.7727288578901482
2,3,16,10,0.01,1e-05,0.5251555442810059,0.4862494170665741,0.768595041322314,0.8387096774193549,0.7612536851771301,0.8355710549258937
3,3,16,10,0.01,1e-05,0.5395960211753845,0.5113418102264404,0.680327868852459,0.7333333333333333,0.6799555203612286,0.7345238095238095
4,3,16,10,0.01,1e-05,0.4606556817889213,0.5548586249351501,0.7950819672131147,0.7,0.7918484615411147,0.6982857142857143
5,3,16,10,0.01,1e-05,0.5119634792208672,0.5310527682304382,0.7540983606557377,0.8,0.7534903620969194,0.7923444976076556
1,4,16,10,0.01,0.0,0.4885645285248756,0.4610239565372467,0.743801652892562,0.7741935483870968,0.7435166912273747,0.7751493428912785
2,4,16,10,0.01,0.0,0.5072110667824745,0.4483890831470489,0.7355371900826446,0.7741935483870968,0.7329510316523302,0.7732377538829153
3,4,16,10,0.01,0.0,0.5159938707947731,0.4869488477706909,0.7459016393442623,0.8,0.7430517726730276,0.8008928571428572
4,4,16,10,0.01,0.0,0.4574078544974327,0.5273271203041077,0.819672131147541,0.7333333333333333,0.8172522995274911,0.7296296296296296
5,4,16,10,0.01,0.0,0.494513489305973,0.5521241426467896,0.7868852459016393,0.8,0.7829853418992763,0.7923444976076556
1,4,16,10,0.01,1e-05,0.5130085721611977,0.5152303576469421,0.7520661157024794,0.6451612903225806,0.7514787583957545,0.646663253114866
2,4,16,10,0.01,1e-05,0.4963766634464264,0.4655303061008453,0.7272727272727273,0.8387096774193549,0.7240151245839124,0.8355710549258937
3,4,16,10,0.01,1e-05,0.5121523886919022,0.4815698564052582,0.7131147540983607,0.7,0.7110291104772519,0.6982857142857143
4,4,16,10,0.01,1e-05,0.4961530119180679,0.6050428748130798,0.7704918032786885,0.6333333333333333,0.7635986795213265,0.6312380952380953
5,4,16,10,0.01,1e-05,0.4619687348604202,0.6736235022544861,0.7540983606557377,0.6333333333333333,0.7540983606557377,0.6312380952380953
